"fold","model","MASE"
1,"ARIMA + Fourier",0.444939253007798
1,"ETS",0.463162745765615
1,"Seasonal naive",1.03249388052131
1,"TBATS",0.438782343637158
1,"TSLM + Fourier",0.466298896005486
2,"ARIMA + Fourier",0.558271358809299
2,"ETS",0.536104161965247
2,"Seasonal naive",0.877001188289943
2,"TBATS",0.572381343270682
2,"TSLM + Fourier",0.599436933252364
3,"ARIMA + Fourier",0.699464274795649
3,"ETS",0.704919915066861
3,"Seasonal naive",0.779042407078138
3,"TBATS",0.687679225477199
3,"TSLM + Fourier",0.721574685804287
4,"ARIMA + Fourier",0.717936541496346
4,"ETS",0.720173617366756
4,"Seasonal naive",0.482511907009924
4,"TBATS",0.700262803694604
4,"TSLM + Fourier",0.722877705664943
5,"ARIMA + Fourier",0.732995542233976
5,"ETS",0.705537445743069
5,"Seasonal naive",0.614453830348062
5,"TBATS",0.700715128910909
5,"TSLM + Fourier",0.75003746473349
6,"ARIMA + Fourier",0.972119490335485
6,"ETS",0.954946950920327
6,"Seasonal naive",0.978865021171125
6,"TBATS",0.93396429766759
6,"TSLM + Fourier",1.01395735999165
7,"ARIMA + Fourier",0.836672767276014
7,"ETS",0.845821871270945
7,"Seasonal naive",0.942038423966135
7,"TBATS",0.808975479991266
7,"TSLM + Fourier",0.877146333898566
8,"ARIMA + Fourier",0.591148666154975
8,"ETS",0.632144991462996
8,"Seasonal naive",0.890308396518395
8,"TBATS",0.568310640970004
8,"TSLM + Fourier",0.639112927636852
9,"ARIMA + Fourier",0.765645244881399
9,"ETS",0.79132592486668
9,"Seasonal naive",0.712094103691988
9,"TBATS",0.739684251973702
9,"TSLM + Fourier",0.820692452817419
10,"ARIMA + Fourier",0.899672455350728
10,"ETS",0.92248839194623
10,"Seasonal naive",0.58394914890713
10,"TBATS",0.855554761699205
10,"TSLM + Fourier",0.928100517226256
11,"ARIMA + Fourier",0.682403740168703
11,"ETS",0.678608219008802
11,"Seasonal naive",0.719491427023261
11,"TBATS",0.673385200989999
11,"TSLM + Fourier",0.70310903343197
12,"ARIMA + Fourier",0.499539457908812
12,"ETS",0.492624029269901
12,"Seasonal naive",0.8634752112838
12,"TBATS",0.478830137730697
12,"TSLM + Fourier",0.517753950318661
13,"ARIMA + Fourier",0.72564594808132
13,"ETS",0.67622057130358
13,"Seasonal naive",0.889136305491069
13,"TBATS",0.677657144754665
13,"TSLM + Fourier",0.70767060300781
14,"ARIMA + Fourier",1.14842269976734
14,"ETS",1.11962154477622
14,"Seasonal naive",0.867472469945968
14,"TBATS",1.10295187955165
14,"TSLM + Fourier",1.12497881746878
15,"ARIMA + Fourier",0.984306926148774
15,"ETS",1.0079785808483
15,"Seasonal naive",1.03226879574185
15,"TBATS",0.967215465825187
15,"TSLM + Fourier",1.00806293469638
16,"ARIMA + Fourier",0.801428269906745
16,"ETS",0.809069916197106
16,"Seasonal naive",1.29229477680038
16,"TBATS",0.755288968695906
16,"TSLM + Fourier",0.853765143663445
17,"ARIMA + Fourier",0.909502528644488
17,"ETS",0.966120761885927
17,"Seasonal naive",0.987827774234407
17,"TBATS",0.862040277525879
17,"TSLM + Fourier",0.978017020517795
18,"ARIMA + Fourier",0.725182168965767
18,"ETS",0.795954092976545
18,"Seasonal naive",0.516224838721049
18,"TBATS",0.726493531921533
18,"TSLM + Fourier",0.796726084706285
19,"ARIMA + Fourier",0.911128257259446
19,"ETS",0.920692761849026
19,"Seasonal naive",0.945253782012582
19,"TBATS",0.875415032889841
19,"TSLM + Fourier",0.91151531886951
20,"ARIMA + Fourier",1.23523752426074
20,"ETS",1.21658390285881
20,"Seasonal naive",1.61925584630096
20,"TBATS",1.22971586683541
20,"TSLM + Fourier",1.14285063610393
21,"ARIMA + Fourier",1.12972599255597
21,"ETS",1.17385688830258
21,"Seasonal naive",1.65244079430396
21,"TBATS",1.18504516586627
21,"TSLM + Fourier",1.07168826890675
22,"ARIMA + Fourier",0.840358141788607
22,"ETS",0.870818547014828
22,"Seasonal naive",1.62062435345547
22,"TBATS",0.878430666362254
22,"TSLM + Fourier",0.807404826866488
23,"ARIMA + Fourier",0.79935943778227
23,"ETS",0.842110057568322
23,"Seasonal naive",1.53255198735432
23,"TBATS",0.836137964224759
23,"TSLM + Fourier",0.780314135568191
24,"ARIMA + Fourier",0.771860831981222
24,"ETS",0.810821926485977
24,"Seasonal naive",0.954518135047201
24,"TBATS",0.758707989199885
24,"TSLM + Fourier",0.764834903180739
25,"ARIMA + Fourier",0.703241723195012
25,"ETS",0.720755023438272
25,"Seasonal naive",0.797523170972195
25,"TBATS",0.711337041323595
25,"TSLM + Fourier",0.704189676595165
26,"ARIMA + Fourier",0.787517348388799
26,"ETS",0.800108460608786
26,"Seasonal naive",1.23986314561526
26,"TBATS",0.760019389028021
26,"TSLM + Fourier",0.785434955326327
27,"ARIMA + Fourier",0.714259602413555
27,"ETS",0.726481587538321
27,"Seasonal naive",1.16828251096788
27,"TBATS",0.660222955085128
27,"TSLM + Fourier",0.713352296584058
