"model",".model","term","estimate","std.error","statistic","p.value"
"ARIMA with Fourier terms","arima_four3","ar1",-1.35369857454708,0.0426611913101511,-31.7313823869934,2.35953936335314e-124
"ARIMA with Fourier terms","arima_four3","ar2",-0.911342582228033,0.0644664404994373,-14.136697716946,1.06182213795491e-38
"ARIMA with Fourier terms","arima_four3","ma1",0.397854306134726,0.0324496489757302,12.2606659453324,1.40320585360085e-30
"ARIMA with Fourier terms","arima_four3","ma2",-0.389493461515182,0.0427597168674957,-9.10888775812404,1.72552179130238e-18
"ARIMA with Fourier terms","arima_four3","ma3",-0.933222080036541,0.0501344226727412,-18.6143976590349,8.22699116011096e-60
"ARIMA with Fourier terms","arima_four3","fourier(K = 3)C1_12",0.934922716708768,0.150818632045409,6.19898684949799,1.14782313656457e-09
"ARIMA with Fourier terms","arima_four3","fourier(K = 3)S1_12",-0.955765750101615,0.150882536195284,-6.33450215116073,5.1088222090881e-10
"ARIMA with Fourier terms","arima_four3","fourier(K = 3)C2_12",-1.20927086103162,0.15052456935311,-8.03371081696861,6.23196279611167e-15
"ARIMA with Fourier terms","arima_four3","fourier(K = 3)S2_12",-0.755291649662065,0.150536315570008,-5.01733848607988,7.17444628358579e-07
"ARIMA with Fourier terms","arima_four3","fourier(K = 3)C3_12",-0.498067050682489,0.149910710128354,-3.32242473040147,0.000954326177661907
"ARIMA with Fourier terms","arima_four3","fourier(K = 3)S3_12",-0.543564423018434,0.149911170262262,-3.62591007773134,0.000315910950275015
