"model",".model","term","estimate"
"ETS(A,N,A)","ets","alpha",0.017211538080388
"ETS(A,N,A)","ets","gamma",0.000100062905098958
"ETS(A,N,A)","ets","l[0]",6.03049656091624
"ETS(A,N,A)","ets","s[0]",1.59726047224627
"ETS(A,N,A)","ets","s[-1]",3.36220453745408
"ETS(A,N,A)","ets","s[-2]",1.31912162697622
"ETS(A,N,A)","ets","s[-3]",-0.0636065196905219
"ETS(A,N,A)","ets","s[-4]",-1.05198394861911
"ETS(A,N,A)","ets","s[-5]",-1.61055976729102
"ETS(A,N,A)","ets","s[-6]",-1.87916195583273
"ETS(A,N,A)","ets","s[-7]",-0.554780513907164
"ETS(A,N,A)","ets","s[-8]",0.900702270641498
"ETS(A,N,A)","ets","s[-9]",0.0349635398718183
"ETS(A,N,A)","ets","s[-10]",-1.26754012782653
"ETS(A,N,A)","ets","s[-11]",-0.786619614022807
