"model",".model","term","estimate","std.error","statistic","p.value"
"TSLM with trend and Fourier K=4","tslm","(Intercept)",5.80239244533299,0.212766841521243,27.2711311774287,3.32077211396368e-102
"TSLM with trend and Fourier K=4","tslm","trend()",0.00348017119825987,0.000697011878644856,4.99298692731906,8.13678411317794e-07
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)C1_12",0.934560150094191,0.150209814603655,6.22169831285746,1.015125473829e-09
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)S1_12",-0.956095025349413,0.150230720076904,-6.36417787826604,4.32603330136953e-10
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)C2_12",-1.20962588940781,0.150209814603654,-8.05290847738239,5.58833130513553e-15
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)S2_12",-0.754827970278277,0.150213048881855,-5.02504926101302,6.94164037226307e-07
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)C3_12",-0.498148616680524,0.150209814603655,-3.31635198402277,0.00097598531634317
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)S3_12",-0.543110737892656,0.150209814603655,-3.61568076843523,0.000328850342433458
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)C4_12",-0.0677698288017421,0.150209814603656,-0.451167781416679,0.652057439912523
"TSLM with trend and Fourier K=4","tslm","fourier(K = 4)S4_12",0.140704558353924,0.150208736495445,0.93672686181067,0.349335586700788
