"specification","CV_MASE","CV_RMSE","CV_MAE","CV_MAPE","SD_MASE","Min_MASE","Max_MASE","folds","Test_MASE","Test_RMSE","Test_MAE","Test_MAPE"
"TBATS no trend",0.783155739077889,2.49490918715062,1.9906709709645,49.4910546701067,0.188861340058682,0.438782343637158,1.22971586683541,27,0.770576269873618,2.33450091614064,1.98372615087077,35.7024305713813
"TBATS automatic trend",0.787162792986829,2.50332637604736,2.00089887514681,49.8315509289798,0.188435737580122,0.438782343637158,1.23880464581669,27,0.782521808654006,2.34255280052745,2.01447804213883,36.1931283489145
"ARIMA + Fourier K=3",0.799555044205898,2.53297161977419,2.03238420868213,51.9780229655101,0.186456165146006,0.444939253007798,1.23523752426074,27,0.820892832726882,2.38599628876516,2.11325814589357,38.0669887932939
"ARIMA + Fourier K=4",0.801130289743786,2.53763883056522,2.03592109475822,52.6537134800881,0.194062210985974,0.432916718008086,1.25854312122911,27,0.842746982785639,2.42369690110952,2.16951818227351,39.4125696614219
"ARIMA + Fourier K=5",0.804581339103257,2.54976821121759,2.04489413318948,53.3750965618711,0.190205167710386,0.470043244329426,1.24306284498212,27,0.817514837987641,2.37078261596485,2.10456203525051,38.6786064818047
"ETS(A,N,A)",0.811298255122446,2.56587320888032,2.06217935757124,52.8902416092132,0.187848637983612,0.463162745765615,1.21658390285881,27,0.806972488684126,2.36286309023136,2.07742243230319,37.2900939503848
"TSLM + Fourier K=3",0.811514958623837,2.55360980335549,2.06321059966105,55.1196396539731,0.171025414717436,0.466298896005486,1.14285063610393,27,0.82340473963983,2.40827881927531,2.11972465106195,38.0174330489635
"TSLM + Fourier K=5",0.81383940761902,2.56831089784783,2.06890837404524,56.4348993240688,0.173753591435856,0.489285195130758,1.1524937897084,27,0.808088121459219,2.3536136810093,2.08029445159219,37.4793662133129
"TSLM + Fourier K=4",0.813990849827768,2.55664523835975,2.06916948332855,55.8187712043193,0.176042936905852,0.461660683575609,1.16661734807264,27,0.833492581806688,2.40732035388092,2.14569419761382,38.2343167732038
"ETS automatic",0.816688293671487,2.57751836766244,2.0761817771925,53.6169777701847,0.183953475824328,0.492624029269901,1.21658390285881,27,0.806972488684126,2.36286309023136,2.07742243230319,37.2900939503848
"ARIMA + Fourier K=2",0.822367744643876,2.5680579688411,2.09092113250061,54.2636481604163,0.183725881691695,0.480220719588842,1.269955304258,27,0.893441616639662,2.68377468922453,2.30002346100671,40.9994695630206
"TSLM + Fourier K=2",0.835485697800872,2.59370604685518,2.12465935339297,57.604085407747,0.164583684233111,0.496595605502831,1.19242275308447,27,0.892043267674809,2.67003836790826,2.29642363381494,40.2293516877076
"ARIMA + Fourier K=1",0.874255610308953,2.71972865497244,2.22338747667406,61.1414231510354,0.199498750631044,0.465526674809847,1.35253485910285,27,0.976002640818446,3.03397284357358,2.51256369759223,44.647726968591
"TSLM + Fourier K=1",0.876039447496019,2.72350027567472,2.22830194685864,64.5468555351132,0.191524053749544,0.472388209969291,1.27245480847767,27,0.975246855654113,3.03061823042089,2.51061804879205,44.6674742684358
